Team,Date,Event,Opponent,Map,W/L,Outcome,Year
Liquid,20/02/19,IEM Katowice 2019,NIP,Overpass,16 - 13,1,2019
Liquid,31/08/19,StarLadder Major Berlin 2019,North,Mirage,16 - 12,1,2019
Liquid,28/02/19,IEM Katowice 2019,ENCE,Inferno,16 - 19,0,2019
Liquid,29/08/19,StarLadder Major Berlin 2019,NRG,Dust2,9 - 16,0,2019
Liquid,28/02/19,IEM Katowice 2019,ENCE,Mirage,11 - 16,0,2019
Liquid,20/02/19,IEM Katowice 2019,AVANGAR,Overpass,16 - 12,1,2019
Liquid,21/02/19,IEM Katowice 2019,Natus Vincere,Dust2,16 - 9,1,2019
Liquid,30/08/19,StarLadder Major Berlin 2019,AVANGAR,Overpass,18 - 22,0,2019
NIP,16/09/18,FACEIT Major 2018,MIBR,Mirage,16 - 10,1,2018
NIP,15/09/18,FACEIT Major 2018,Vega Squadron,Train,16 - 11,1,2018
NIP,13/09/18,FACEIT Major 2018,Liquid,Mirage,10 - 16,0,2018
NIP,16/09/18,FACEIT Major 2018,MIBR,Cache,15 - 19,0,2018
NIP,12/09/18,FACEIT Major 2018,mousesports,Mirage,16 - 12,1,2018
NIP,14/09/18,FACEIT Major 2018,Natus Vincere,Train,6 - 16,0,2018
NIP,16/09/18,FACEIT Major 2018,MIBR,Train,11 - 16,0,2018
NIP,24/02/19,IEM Katowice 2019,Vitality,Cache,16 - 7,1,2019
NIP,30/08/19,StarLadder Major Berlin 2019,North,Train,8 - 16,0,2019
NIP,24/02/19,IEM Katowice 2019,Vitality,Overpass,8 - 16,0,2019
NIP,30/08/19,StarLadder Major Berlin 2019,North,Dust2,4 - 16,0,2019
NIP,22/02/19,IEM Katowice 2019,MIBR,Inferno,14 - 16,0,2019
NIP,29/08/19,StarLadder Major Berlin 2019,CR4ZY,Train,10 - 16,0,2019
NIP,22/02/19,IEM Katowice 2019,MIBR,Train,6 - 16,0,2019
NIP,20/02/19,IEM Katowice 2019,Liquid,Overpass,13 - 16,0,2019
NIP,21/02/19,IEM Katowice 2019,HellRaisers,Overpass,16 - 5,1,2019
NIP,24/02/19,IEM Katowice 2019,Vitality,Mirage,16 - 7,1,2019
NIP,01/03/19,IEM Katowice 2019,Astralis,Dust2,14 - 16,0,2019
NIP,20/02/19,IEM Katowice 2019,NRG,Nuke,16 - 14,1,2019
NIP,28/08/19,StarLadder Major Berlin 2019,MIBR,Dust2,12 - 16,0,2019
NIP,01/03/19,IEM Katowice 2019,Astralis,Mirage,2 - 16,0,2019
